 99911	A baby is shown drinking his juice by himself in his cup.
 99912	A baby is sitting on a counter top drinking out of a sippy cup and an unseen woman says yay.
 99913	A little kid is drinks out of a green cup and then makes a funny face.
 99914	A baby holding his own sippy cup and drinking from it.
 99915	a little baby takes a sip out of a green cup in front of them
 99916	A baby is attempting to drink out of a cup with a lid on it.
 99917	A toddler is trying to take a drink from his sippy cup.
 99918	A baby boy is sitting in his high chair trying to use his sippy cup as his father cheers him on.
 99919	A baby drinks from a blue sippy cup while his dad tells him to have a drink.
 99920	A little baby boy is sitting in a highchair drinking from a cup.
 99921	A woman is talking to a baby that is holding a sipping cup.
 99922	a new born baby drinking out of a bottle and stops
 99923	A woman talks to a baby as she attempts to get the baby to hold its own bottle while feeding.
 99924	A baby is sitting in his hair as he sucks milk from a bottle.
 99925	A small baby is seen drinking from a sippy cup.
 99926	A baby is laying on a mat drinking out of a sippy cup.
 99927	A new baby is learning how to drink from its bottle.
 99928	A baby holds a bottle, and an adult uses their hands to help guide the spout into the baby's mouth.
 99929	a little boy laying down with their bottle in hand and starting to drink it
 99930	A baby attempts to drink from a cup but can't because the baby didn't open the lid.
 99931	A little boy is attempting to drink out of a plastic zippy cup.
 99932	A toddler in a high chair is drinking from a sippy cup.
 99933	A little boy in a high chair practices drinking water out of a cup with a straw.
 99934	A toddler sits in his highchair and works on using a sippy cup to drink from.
 99935	A toddler drinks from a cup using a straw and an unseen woman talks to him.
